strategy,block_size,median_sharpe,sharpe_p5,sharpe_p95,p_active_return_positive,p_sharpe_above_benchmark
momentum_3m_equal,3,1.372277975634078,0.7505763708482885,1.9874127549684824,0.9978,0.9758
momentum_12_1_equal,3,1.21937715081909,0.6419435746346788,1.7899163067504553,0.9984,0.967
momentum_max_sharpe,3,1.164712012854062,0.6373476013588689,1.6958899348864305,0.9962,0.9184
momentum_min_vol,3,1.1248436862315578,0.577378077377059,1.6835482711255332,0.9268,0.8878
ml,3,1.3062900417509447,0.7543010305915605,1.9174812933586411,1.0,0.9908
momentum_3m_equal,6,1.3606365726318757,0.7452684642750608,1.9384312687549692,0.9946,0.9574
momentum_12_1_equal,6,1.225820661254665,0.6927444650166521,1.7351692772808767,0.9996,0.9634
momentum_max_sharpe,6,1.177170221463703,0.6648396885932748,1.6233344389295112,0.9944,0.911
momentum_min_vol,6,1.1239553335651689,0.6582043787108695,1.6023876572882718,0.9378,0.8852
ml,6,1.3071818231152026,0.7289535783980484,1.8859990833871505,0.9996,0.989
momentum_3m_equal,12,1.349877992020069,0.7223008675314205,1.9284797231389095,0.9896,0.9314
momentum_12_1_equal,12,1.2189126338847704,0.722396381208959,1.700440005698105,0.9994,0.9654
momentum_max_sharpe,12,1.163108894375601,0.6693632089179556,1.5851118935688435,0.9916,0.9008
momentum_min_vol,12,1.1117677690593184,0.6918871466982641,1.5265248747035272,0.9142,0.87
ml,12,1.3118812858082445,0.7146081461359264,1.8697888642795093,0.9992,0.9918
