,momentum_3m_equal,momentum_12_1_equal,momentum_max_sharpe,momentum_min_vol,ml,benchmark
Annual Return,0.34041779836627173,0.30318265765590335,0.33327312802143183,0.20134167250911017,0.3082573020577686,0.12417411806408207
Annual Volatility,0.24230221801863244,0.24486642223332244,0.28785542471137454,0.18056282964799242,0.2298884349223671,0.16926332430294275
Sharpe Ratio,1.3380714175106458,1.2092839937585151,1.1414257376296748,1.1104824473996198,1.2909004212855009,0.7791320078308716
Sortino Ratio,2.879265660895491,2.58325514594528,2.8152007349221932,2.2420785631740388,2.7352963714953127,1.2052853724902277
Max Drawdown,-0.2056512969213642,-0.20763364403817963,-0.24032197900887364,-0.1455504842335229,-0.19862249554466727,-0.24769522239058828
Calmar Ratio,1.6553155922787046,1.4601807865017973,1.386777561486068,1.3833115950756663,1.5519757780328869,0.501318179921424
Annual Active Return,0.19233919861388532,0.1642345712993914,0.1966871167656043,0.06863337926062359,0.1648846037736684,
Tracking Error,0.173344336725384,0.15246010360686138,0.21751199366489432,0.1302600056725361,0.13235018859043746,
Information Ratio,1.1095787854817165,1.0772298287484574,0.9042587190324158,0.5268952577290896,1.2458206937952305,
Beta,1.0002099964618183,1.1407572086182105,1.1204046706035067,0.772866083059179,1.1166148363349204,
Annual Alpha,0.19231150460101493,0.14567172546225776,0.1808083325781024,0.09858745355597928,0.14950561714514532,
