strategy,counterfactual_type,removed_tickers,annual_return,sharpe,max_drawdown,information_ratio,delta_vs_baseline,delta_definition
momentum_3m_equal,attribution_counterfactual,NVDA,,,,,-0.6008097048151466,change_in_net_arithmetic_contribution_only
momentum_3m_equal,rerun_counterfactual,NVDA,0.27080909222904426,1.2153970818046316,-0.18596802450767858,0.8873821708936527,-0.12267433570601427,sharpe_delta_vs_baseline
momentum_3m_equal,attribution_counterfactual,NVDA|TSLA,,,,,-1.153641891465762,change_in_net_arithmetic_contribution_only
momentum_3m_equal,rerun_counterfactual,NVDA|TSLA,0.17940196576689127,1.0532360297118628,-0.17169188593025497,0.44209651360548546,-0.28483538779878304,sharpe_delta_vs_baseline
momentum_3m_equal,attribution_counterfactual,NVDA|TSLA|META,,,,,-1.440485496948262,change_in_net_arithmetic_contribution_only
momentum_3m_equal,rerun_counterfactual,NVDA|TSLA|META,0.16270952738794486,1.0165283695519747,-0.17169188593025497,0.31936254550255927,-0.32154304795867117,sharpe_delta_vs_baseline
momentum_12_1_equal,attribution_counterfactual,NVDA,,,,,-0.5675582779286537,change_in_net_arithmetic_contribution_only
momentum_12_1_equal,rerun_counterfactual,NVDA,0.21638886155560244,0.9876585148847612,-0.18002056037237646,0.6569186855069036,-0.22162547887375394,sharpe_delta_vs_baseline
momentum_12_1_equal,attribution_counterfactual,NVDA|TSLA,,,,,-1.0078100519701803,change_in_net_arithmetic_contribution_only
momentum_12_1_equal,rerun_counterfactual,NVDA|TSLA,0.16984631937628092,0.9688899121572401,-0.15130347904075747,0.41662934417227293,-0.24039408160127507,sharpe_delta_vs_baseline
momentum_12_1_equal,attribution_counterfactual,NVDA|TSLA|META,,,,,-1.2204783551905927,change_in_net_arithmetic_contribution_only
momentum_12_1_equal,rerun_counterfactual,NVDA|TSLA|META,0.16846158554591106,0.9892958610238812,-0.15130347904075747,0.392814654712581,-0.2199881327346339,sharpe_delta_vs_baseline
momentum_max_sharpe,attribution_counterfactual,TSLA,,,,,-0.775248198451325,change_in_net_arithmetic_contribution_only
momentum_max_sharpe,rerun_counterfactual,TSLA,0.26211398917896056,1.1658478619530765,-0.2106678466522972,0.7593896196821661,0.02442212432340174,sharpe_delta_vs_baseline
momentum_max_sharpe,attribution_counterfactual,TSLA|NVDA,,,,,-1.407789784636076,change_in_net_arithmetic_contribution_only
momentum_max_sharpe,rerun_counterfactual,TSLA|NVDA,0.1514111366141535,0.8191150111189884,-0.22454504053224988,0.20528997583785466,-0.3223107265106864,sharpe_delta_vs_baseline
momentum_max_sharpe,attribution_counterfactual,TSLA|NVDA|GOOGL,,,,,-1.7287098637902023,change_in_net_arithmetic_contribution_only
momentum_max_sharpe,rerun_counterfactual,TSLA|NVDA|GOOGL,0.11723625892364686,0.6760027501882974,-0.22454504053224988,-0.02001359921335127,-0.46542298744137744,sharpe_delta_vs_baseline
momentum_min_vol,attribution_counterfactual,COST,,,,,-0.2821533136345162,change_in_net_arithmetic_contribution_only
momentum_min_vol,rerun_counterfactual,COST,0.18411812391898663,1.0511805712876836,-0.13314255434715805,0.40492868134622584,-0.05930187611193616,sharpe_delta_vs_baseline
momentum_min_vol,attribution_counterfactual,COST|AMZN,,,,,-0.5287730857891118,change_in_net_arithmetic_contribution_only
momentum_min_vol,rerun_counterfactual,COST|AMZN,0.18108985336563088,1.079297712800787,-0.14893756536985303,0.40934624385291934,-0.031184734598832753,sharpe_delta_vs_baseline
momentum_min_vol,attribution_counterfactual,COST|AMZN|GOOGL,,,,,-0.7638448442583651,change_in_net_arithmetic_contribution_only
momentum_min_vol,rerun_counterfactual,COST|AMZN|GOOGL,0.14944098719087284,0.9162214027382689,-0.16399571918205091,0.18047222537940072,-0.19426104466135086,sharpe_delta_vs_baseline
ml,attribution_counterfactual,TSLA,,,,,-0.7027554126065689,change_in_net_arithmetic_contribution_only
ml,rerun_counterfactual,TSLA,0.25597549788180984,1.3391548977358672,-0.18135498475142764,1.1883252110523437,0.04825447645036629,sharpe_delta_vs_baseline
ml,attribution_counterfactual,TSLA|NVDA,,,,,-1.0501441126086783,change_in_net_arithmetic_contribution_only
ml,rerun_counterfactual,TSLA|NVDA,0.20009003868548003,1.2264310615614493,-0.13366914671921193,0.731260625055799,-0.06446935972405154,sharpe_delta_vs_baseline
ml,attribution_counterfactual,TSLA|NVDA|MA,,,,,-1.2002473215213607,change_in_net_arithmetic_contribution_only
ml,rerun_counterfactual,TSLA|NVDA|MA,0.195633520013345,1.2177614631086071,-0.15632560385915584,0.7095261864338593,-0.07313895817689375,sharpe_delta_vs_baseline
