strategy,timing,max_participation,diagnostic_aum_ceiling,binding_ticker,binding_signal_date
ml,next_session_open,0.01,27745951.762800217,KO,2021-08-31
ml,next_session_open,0.05,138729758.81400108,KO,2021-08-31
ml,next_session_open,0.1,277459517.62800217,KO,2021-08-31
ml,same_close_diagnostic,0.01,27745951.762800217,KO,2021-08-31
ml,same_close_diagnostic,0.05,138729758.81400108,KO,2021-08-31
ml,same_close_diagnostic,0.1,277459517.62800217,KO,2021-08-31
momentum_12_1_equal,next_session_open,0.01,29120697.79820123,KO,2022-08-31
momentum_12_1_equal,next_session_open,0.05,145603488.99100614,KO,2022-08-31
momentum_12_1_equal,next_session_open,0.1,291206977.9820123,KO,2022-08-31
momentum_12_1_equal,same_close_diagnostic,0.01,28917987.75696476,KO,2022-08-31
momentum_12_1_equal,same_close_diagnostic,0.05,144589938.78482378,KO,2022-08-31
momentum_12_1_equal,same_close_diagnostic,0.1,289179877.56964755,KO,2022-08-31
momentum_3m_equal,next_session_open,0.01,31556552.3117218,ABBV,2023-09-29
momentum_3m_equal,next_session_open,0.05,157782761.558609,ABBV,2023-09-29
momentum_3m_equal,next_session_open,0.1,315565523.117218,ABBV,2023-09-29
momentum_3m_equal,same_close_diagnostic,0.01,31556552.3117218,ABBV,2023-09-29
momentum_3m_equal,same_close_diagnostic,0.05,157782761.558609,ABBV,2023-09-29
momentum_3m_equal,same_close_diagnostic,0.1,315565523.117218,ABBV,2023-09-29
momentum_max_sharpe,next_session_open,0.01,16751265.364879608,PEP,2023-04-28
momentum_max_sharpe,next_session_open,0.05,83756326.82439804,PEP,2023-04-28
momentum_max_sharpe,next_session_open,0.1,167512653.64879608,PEP,2023-04-28
momentum_max_sharpe,same_close_diagnostic,0.01,16751265.364879608,PEP,2023-04-28
momentum_max_sharpe,same_close_diagnostic,0.05,83756326.82439804,PEP,2023-04-28
momentum_max_sharpe,same_close_diagnostic,0.1,167512653.64879608,PEP,2023-04-28
momentum_min_vol,next_session_open,0.01,16751265.364879608,PEP,2023-04-28
momentum_min_vol,next_session_open,0.05,83756326.82439804,PEP,2023-04-28
momentum_min_vol,next_session_open,0.1,167512653.64879608,PEP,2023-04-28
momentum_min_vol,same_close_diagnostic,0.01,16751265.364879608,PEP,2023-04-28
momentum_min_vol,same_close_diagnostic,0.05,83756326.82439804,PEP,2023-04-28
momentum_min_vol,same_close_diagnostic,0.1,167512653.64879608,PEP,2023-04-28
