signal_date,reason
2018-08-31,before_complete_liquidity_history
2018-09-28,before_complete_liquidity_history
2018-10-31,before_complete_liquidity_history
2018-11-30,before_complete_liquidity_history
2018-12-31,before_complete_liquidity_history
2019-01-31,before_complete_liquidity_history
2019-02-28,before_complete_liquidity_history
2019-03-29,before_complete_liquidity_history
2019-04-30,before_complete_liquidity_history
2019-05-31,before_complete_liquidity_history
2019-06-28,before_complete_liquidity_history
2019-07-31,before_complete_liquidity_history
2019-08-30,before_complete_liquidity_history
2019-09-30,before_complete_liquidity_history
2019-10-31,before_complete_liquidity_history
2019-11-29,before_complete_liquidity_history
2019-12-31,before_complete_liquidity_history
2020-01-31,before_complete_liquidity_history
2020-02-28,before_complete_liquidity_history
2020-03-31,before_complete_liquidity_history
2020-04-30,before_complete_liquidity_history
2020-05-29,before_complete_liquidity_history
2020-06-30,before_complete_liquidity_history
2020-07-31,before_complete_liquidity_history
2020-08-31,before_complete_liquidity_history
2020-09-30,before_complete_liquidity_history
2020-10-30,before_complete_liquidity_history
2020-11-30,before_complete_liquidity_history
2020-12-31,before_complete_liquidity_history
2021-01-29,before_complete_liquidity_history
2021-02-26,before_complete_liquidity_history
2021-03-31,before_complete_liquidity_history
2021-04-30,before_complete_liquidity_history
2021-05-28,before_complete_liquidity_history
2021-06-30,before_complete_liquidity_history
2021-07-30,before_complete_liquidity_history
2025-11-28,terminal_next_session_unavailable
