strategy,execution_scenario,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha,annual_return_delta,sharpe_delta,information_ratio_delta
momentum_3m_equal,same_close,2018-09-28,2025-12-31,88,0.34041779836627173,0.24230221801863244,1.3380714175106458,2.879265660895491,-0.2056512969213642,1.6553155922787046,0.19233919861388532,0.173344336725384,1.1095787854817165,1.0002099964618183,0.19231150460101493,0.0,0.0,0.0
momentum_3m_equal,one_period_delay,2018-09-28,2025-12-31,88,0.25752409238322205,0.2510310191708846,1.0393644330442737,2.2157518245325143,-0.22060711287424917,1.1673426528636743,0.12903423920079302,0.1782260154399228,0.7239921673740635,1.045409780569641,0.12304566664747754,-0.08289370598304968,-0.2987069844663721,-0.38558661810765305
momentum_12_1_equal,same_close,2018-09-28,2025-12-31,88,0.30318265765590335,0.24486642223332244,1.2092839937585151,2.58325514594528,-0.20763364403817963,1.4601807865017973,0.1642345712993914,0.15246010360686138,1.0772298287484574,1.1407572086182105,0.14567172546225776,0.0,0.0,0.0
momentum_12_1_equal,one_period_delay,2018-09-28,2025-12-31,88,0.3017646340796154,0.25110378912059983,1.1810197266589646,2.4708283251266336,-0.25475452986347513,1.1845309845573044,0.16468005467396135,0.15863281937636425,1.0381209595931704,1.1612328978734523,0.14341690618955769,-0.0014180235762879523,-0.028264267099550544,-0.039108869155286996
momentum_max_sharpe,same_close,2018-09-28,2025-12-31,88,0.33327312802143183,0.28785542471137454,1.1414257376296748,2.8152007349221932,-0.24032197900887364,1.386777561486068,0.1966871167656043,0.21751199366489432,0.9042587190324158,1.1204046706035067,0.1808083325781024,0.0,0.0,0.0
momentum_max_sharpe,one_period_delay,2018-09-28,2025-12-31,88,0.28041034863523673,0.2817707490258992,1.0134887536664479,2.4132984432512994,-0.19124159379987837,1.4662623494377878,0.15369301153364032,0.20077414812467653,0.7655019979873114,1.1821011680156377,0.12967778743378622,-0.0528627793861951,-0.12793698396322695,-0.1387567210451044
momentum_min_vol,same_close,2018-09-28,2025-12-31,88,0.20134167250911017,0.18056282964799242,1.1104824473996198,2.2420785631740388,-0.1455504842335229,1.3833115950756663,0.06863337926062359,0.1302600056725361,0.5268952577290896,0.772866083059179,0.09858745355597928,0.0,0.0,0.0
momentum_min_vol,one_period_delay,2018-09-28,2025-12-31,88,0.14484893833590196,0.19564928254086383,0.7899016216888225,1.451114640416282,-0.1814241995792646,0.7983992139517042,0.022665211845003225,0.12956940157601785,0.17492719399267762,0.8750498640689257,0.039143445062235,-0.056492734173208214,-0.32058082571079727,-0.351968063736412
ml,same_close,2018-10-31,2025-12-31,87,0.31572429667001267,0.23064490111473415,1.3126353232515804,2.7802360421424432,-0.19862249554466727,1.5895696799308965,0.16995064159641185,0.13240036609018638,1.2836115685710985,1.1154424859745766,0.15461964825832064,0.0,0.0,0.0
ml,one_period_delay,2018-10-31,2025-12-31,87,0.26420664022142515,0.23632428132988512,1.1170101926114555,2.010934476730135,-0.2256703640721187,1.1707635661765103,0.13117462827240264,0.12764022341326392,1.0276903687930354,1.1825636709123826,0.10692980714864764,-0.05151765644858752,-0.19562513064012488,-0.25592119977806305
