strategy,removed_ticker,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha,baseline_annual_return,baseline_sharpe,baseline_max_drawdown,baseline_information_ratio,annual_return_delta,sharpe_delta,max_drawdown_delta,information_ratio_delta
momentum_3m_equal,AAPL,2018-09-28,2025-12-31,88,0.3312633490435466,0.2297009571451409,1.3694597598554688,2.8733334492924176,-0.18572366547688102,1.7836356405790539,0.18268774389427628,0.16233543032580972,1.1253719753452414,0.9609017543629703,0.18784396085387195,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.009154449322725133,0.031388342344822906,0.019927631444483174,0.015793189863524848
momentum_12_1_equal,AAPL,2018-09-28,2025-12-31,88,0.2930995778999441,0.23140503798157497,1.232731265148214,2.611767562116573,-0.20488481532090774,1.430557835342102,0.15338175151641772,0.14106611015467282,1.0873040402704897,1.0872348776041825,0.14187734900315163,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.010083079755959234,0.02344727138969893,0.0027488287172718895,0.01007421152203225
ml,AAPL,2018-09-28,2025-12-31,88,0.32130013179598094,0.2184077511398563,1.394934631781538,2.8337349580853557,-0.23285703959763415,1.3798171287892873,0.17278606219822956,0.12056067513057218,1.433187579707024,1.0788304522502639,0.1623900224731007,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.013042829738212358,0.10403421049603723,-0.034234544052966887,0.1873668859117934
momentum_3m_equal,ABBV,2018-09-28,2025-12-31,88,0.32962196389254883,0.24457993988405854,1.2940571383138055,2.7469116165464023,-0.2056512969213642,1.6028197673783107,0.18462194337904766,0.17279400348451074,1.0684511016355795,1.0228883605550207,0.18160346132318364,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.010795834473722898,-0.04401427919684031,0.0,-0.041127683846136964
momentum_12_1_equal,ABBV,2018-09-28,2025-12-31,88,0.3029047107928029,0.2517244164345657,1.1817112456886183,2.512256608531865,-0.21392267916976682,1.4159541754449554,0.16558709999885143,0.1555914997494818,1.0642425856519382,1.1833571959447515,0.14140623285276077,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.00027794686310045336,-0.027572748069896846,-0.006289035131587184,-0.012987243096519219
ml,ABBV,2018-09-28,2025-12-31,88,0.2972693489278042,0.23226358342078893,1.2439781427046341,2.4986207980944224,-0.18263192476086731,1.627696523031445,0.1570523474054362,0.12774847948411697,1.2293872149371656,1.156659727067107,0.13639230170701713,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,-0.010987953129964367,-0.04692227858086673,0.01599057078379995,-0.0164334788580649
momentum_3m_equal,AMZN,2018-09-28,2025-12-31,88,0.3530574035917975,0.23489146444956166,1.4145488535031543,3.0544778274553486,-0.1959496633146427,1.8017760154294413,0.20038697801852468,0.16592024658186075,1.2077307148869194,0.9824502871210727,0.20270140736715656,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,0.012639605225525763,0.07647743599250845,0.009701633606721494,0.0981519294052029
momentum_12_1_equal,AMZN,2018-09-28,2025-12-31,88,0.29302764360585165,0.23703101917475813,1.2075440907438724,2.664370606264082,-0.20763364403817963,1.4112724600256488,0.154346932811197,0.1461063464600389,1.0564012895457073,1.1079677289296181,0.14010831350934588,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.010155014050051703,-0.001739903014642774,0.0,-0.020828539202750074
ml,AMZN,2018-09-28,2025-12-31,88,0.29955988569041114,0.21809934242497248,1.3187969110334279,2.663374071344887,-0.21360960103251558,1.4023708870876652,0.1557502653721958,0.13581315725430154,1.1467980608135284,1.0082379638177037,0.15466385527738713,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,-0.008697416367357436,0.027896489747927022,-0.014987105487848318,-0.09902263298170211
momentum_3m_equal,COST,2018-09-28,2025-12-31,88,0.33793194692814477,0.23738009756020323,1.3531334265683788,2.910835422899509,-0.192724876877173,1.7534422769070692,0.18932847109449408,0.17074621986388158,1.108829649320648,0.9746068040292859,0.19267728702189024,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.0024858514381269625,0.015062009057732917,0.0129264200441912,-0.000749136161068531
