strategy,date,signal_date,observations,assets,covariance_condition_number,minimum_eigenvalue,maximum_eigenvalue,covariance_rank,average_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation,minimum_expected_return,maximum_expected_return,expected_return_dispersion,optimization_status,objective_result,fallback_indicator
momentum_max_sharpe,2015-05-29,2015-04-30,81,5,,,,,,,,,,,fallback_equal:insufficient_history,,True
momentum_max_sharpe,2015-06-30,2015-05-29,101,5,,,,,,,,,,,fallback_equal:insufficient_history,,True
momentum_max_sharpe,2015-07-31,2015-06-30,123,5,,,,,,,,,,,fallback_equal:insufficient_history,,True
momentum_max_sharpe,2015-08-31,2015-07-31,145,5,,,,,,,,,,,fallback_equal:insufficient_history,,True
momentum_max_sharpe,2015-09-30,2015-08-31,166,5,,,,,,,,,,,fallback_equal:insufficient_history,,True
momentum_max_sharpe,2015-10-30,2015-09-30,187,5,,,,,,,,,,,fallback_equal:insufficient_history,,True
momentum_max_sharpe,2015-11-30,2015-10-30,209,5,,,,,,,,,,,fallback_equal:insufficient_history,,True
momentum_max_sharpe,2015-12-31,2015-11-30,229,5,,,,,,,,,,,fallback_equal:insufficient_history,,True
momentum_max_sharpe,2016-01-29,2015-12-31,251,5,8.423277584973063,0.029877472742945686,0.2516662464512982,5.0,0.4405893300726129,0.5865473427169299,0.20206094915725098,0.2197458577139051,1.1976049839779752,0.3841983446498421,optimized,,False
momentum_max_sharpe,2016-02-29,2016-01-29,251,5,14.707768857818383,0.013024516025794405,0.19156157119233527,5.0,0.37904277593687014,0.5623705782304594,0.189573127092921,-0.1981001188638828,0.553536542659288,0.3281023249072967,optimized,,False
momentum_max_sharpe,2016-03-31,2016-02-29,251,5,19.490821173168793,0.007530133428867273,0.14676848407215243,5.0,0.41928172383994183,0.6722256288390104,0.27234883692415784,-0.18856509450774228,0.3422564008785991,0.19270631885309675,optimized,,False
momentum_max_sharpe,2016-04-29,2016-03-31,251,5,15.262272360880095,0.012031405562229569,0.1836265885749554,5.0,0.33080897398197656,0.4280758580500654,0.12643444488174774,-0.12707052948616637,0.727373245518095,0.3219937848526367,optimized,,False
momentum_max_sharpe,2016-05-31,2016-04-29,251,5,23.05775129296186,0.011455943196260084,0.2641482890456642,5.0,0.3650174569995617,0.8399502189230211,0.25411390044639043,-0.017711208771133746,0.5902590354774784,0.24615264657093647,optimized,,False
momentum_max_sharpe,2016-06-30,2016-05-31,251,5,8.708271374508882,0.02989986439984942,0.2603761332549066,5.0,0.35917965935290763,0.573138765268417,0.24983480831191873,-0.020262631900061057,1.166575668832095,0.5295447305481734,optimized,,False
momentum_max_sharpe,2016-07-29,2016-06-30,251,5,21.10585366149887,0.011515841767956454,0.24305167114346526,5.0,0.37637245080076287,0.8433106987329902,0.29043085547163067,0.14760083035428373,1.3430259124052069,0.5161906177760749,optimized,,False
momentum_max_sharpe,2016-08-31,2016-07-29,251,5,9.593034425579413,0.02666095384128654,0.2557594480182455,5.0,0.42539867611633275,0.5664322942213876,0.2869772604824989,-0.123758660188938,1.915496097704425,0.8019548637032201,optimized,,False
momentum_max_sharpe,2016-09-30,2016-08-31,251,5,30.45165623756562,0.005023658194034405,0.1529787123797653,5.0,0.40359560621153434,0.6994947607949822,0.20362034790723127,0.16772268689358172,1.8062405332123852,0.6974607925513763,optimized,,False
momentum_max_sharpe,2016-10-31,2016-09-30,251,5,12.261863247529295,0.016045266893502066,0.19674486841823152,5.0,0.4257096445764583,0.6615027127221255,0.26491961984973633,0.046275186740029284,1.8073456707776239,0.7298192076374134,optimized,,False
momentum_max_sharpe,2016-11-30,2016-10-31,251,5,14.188092843173532,0.014285033265004864,0.2026773782317114,5.0,0.49829532442457153,0.6839457293164575,0.3392555677444637,-0.04318148568910518,1.5182390011447922,0.6508093864578814,optimized,,False
momentum_max_sharpe,2016-12-30,2016-11-30,251,5,11.348102922936004,0.020368142902095498,0.2311397820020485,5.0,0.3798320449129962,0.5862182706612207,0.14569838085530593,0.061283262402413774,1.8762284669050588,0.7401173101147057,optimized,,False
momentum_max_sharpe,2017-01-31,2016-12-30,251,5,10.92872347459287,0.02189022660003569,0.2392322333079673,5.0,0.32278656095030483,0.4975682808342681,0.10949614913751139,0.1657662996337792,2.345187449261534,0.904288338601939,optimized,,False
momentum_max_sharpe,2017-02-28,2017-01-31,251,5,12.894459262006848,0.018830143457583073,0.24280451771154954,5.0,0.25040177864957297,0.4171336937836769,0.12290403426679403,0.12215506950421884,2.949825488022504,1.1636583121761994,optimized,,False
momentum_max_sharpe,2017-03-31,2017-02-28,251,5,6.8735520562975285,0.017986224170876305,0.12362924813475508,5.0,0.2365765153060056,0.4467234688108824,0.10872017508424699,0.1878784270553555,0.3933178216066078,0.09310087929282601,optimized,,False
