strategy,date,number_nonzero_holdings,maximum_weight,top_2_weight,top_3_weight,hhi,effective_holdings,entropy,turnover,l1_target_weight_change,optimization_status,fallback_indicator
momentum_max_sharpe,2015-05-29,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,1.0,1.0,fallback_equal:insufficient_history,True
momentum_max_sharpe,2015-06-30,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.21321828245310442,0.4,fallback_equal:insufficient_history,True
momentum_max_sharpe,2015-07-31,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.014782115675941232,0.0,fallback_equal:insufficient_history,True
momentum_max_sharpe,2015-08-31,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.6146471956831198,1.2000000000000002,fallback_equal:insufficient_history,True
momentum_max_sharpe,2015-09-30,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.20241741353802745,0.4,fallback_equal:insufficient_history,True
momentum_max_sharpe,2015-10-30,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.40142569827707414,0.8,fallback_equal:insufficient_history,True
momentum_max_sharpe,2015-11-30,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.21008488641027379,0.4,fallback_equal:insufficient_history,True
momentum_max_sharpe,2015-12-31,5,0.2,0.4,0.6000000000000001,0.20000000000000004,4.999999999999999,1.6094379124341005,0.2073481059556681,0.4,fallback_equal:insufficient_history,True
momentum_max_sharpe,2016-01-29,4,0.4,0.79691,0.9355500000000001,0.3409124002000001,2.9333048589999624,1.1839277750309583,0.3938540240438737,0.79382,optimized,False
momentum_max_sharpe,2016-02-29,3,0.4,0.7752800000000001,1.0,0.3513341568000001,2.846293139010843,1.0698062999275282,0.5483570125151513,1.12054,optimized,False
momentum_max_sharpe,2016-03-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6163427474878572,1.2,optimized,False
momentum_max_sharpe,2016-04-29,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.3999999999999999,0.7999999999999999,optimized,False
momentum_max_sharpe,2016-05-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6,1.2000000000000002,optimized,False
momentum_max_sharpe,2016-06-30,4,0.4,0.8,0.9468300000000001,0.34438609780000007,2.9037176773051487,1.1707376328477561,0.6,1.2000000000000002,optimized,False
momentum_max_sharpe,2016-07-29,4,0.3999960000399996,0.7927620723792761,0.932560674393256,0.33835369939217674,2.9554871183510447,1.1904856988334278,0.20723792762072385,0.4144758552414479,optimized,False
momentum_max_sharpe,2016-08-31,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.39999999999999997,0.8000079999200009,optimized,False
momentum_max_sharpe,2016-09-30,3,0.4,0.8,1.0,0.3600000000000001,2.7777777777777772,1.0549201679861442,0.6000000000000001,1.2000000000000002,optimized,False
