strategy,ticker,total_contribution,rank,share_of_positive_contribution,share_of_net_arithmetic_contribution
momentum_3m_equal,NVDA,0.6008097048151466,1,0.2406872805516409,0.24895649437792264
momentum_3m_equal,TSLA,0.5528321866506154,2,0.22146725417375332,0.22907613186801654
momentum_3m_equal,META,0.2868436054825,3,0.11491093901096747,0.11885889639152639
momentum_3m_equal,GOOGL,0.18705346266395337,4,0.0749345240024156,0.07750902482575123
momentum_3m_equal,JPM,0.17111617995471548,5,0.06854997128309932,0.0709051201261384
momentum_3m_equal,COST,0.16498902289297024,6,0.06609540245891898,0.06836622048725131
momentum_3m_equal,XOM,0.1302801088879211,7,0.05219084323521879,0.05398394689028865
momentum_3m_equal,MSFT,0.12852159831782428,8,0.05148637537535267,0.05325527585959596
momentum_3m_equal,WMT,0.0733931263694215,9,0.029401642242902815,0.030411784806286993
momentum_3m_equal,AAPL,0.06883462997124108,10,0.02757548648561513,0.028522888415582797
momentum_3m_equal,AMZN,0.048717558082936714,11,0.019516489957009497,0.020187011590820408
momentum_3m_equal,PG,0.040575339785568314,12,0.01625467783256259,0.01681313445879857
momentum_3m_equal,V,0.022260810615415186,13,0.008917788655807191,0.009224174190944089
momentum_3m_equal,KO,0.015122704175049687,14,0.006058228609339024,0.006266369179394504
momentum_3m_equal,CVX,0.004014614950545962,15,0.001608274212558139,0.0016635291613217682
momentum_3m_equal,MA,0.0008607532196611284,16,0.00034482191283852134,0.0003566688460155216
momentum_3m_equal,PEP,-0.0015781465209406837,17,0.0,-0.000653933886752028
momentum_3m_equal,HD,-0.004665337294316972,18,0.0,-0.0019331678709169464
momentum_3m_equal,ABBV,-0.025872771668815544,19,0.0,-0.010720856342509546
momentum_3m_equal,UNH,-0.050797113372996555,20,0.0,-0.02104871337547725
momentum_12_1_equal,NVDA,0.5675582779286537,1,0.2453562524236596,0.25869859144331186
momentum_12_1_equal,TSLA,0.4402517740415265,2,0.19032146935803385,0.20067104692864557
momentum_12_1_equal,META,0.21266830322041233,3,0.09193681057369446,0.09693628412671283
momentum_12_1_equal,MSFT,0.19611523684881552,4,0.08478089639008414,0.08939123523758702
momentum_12_1_equal,XOM,0.15470894390484,5,0.06688089693880815,0.07051784359120149
momentum_12_1_equal,AAPL,0.12468447481495536,6,0.0539012761608514,0.05683239812340968
momentum_12_1_equal,JPM,0.11156653125406504,7,0.04823037046399233,0.05085311167159303
momentum_12_1_equal,GOOGL,0.10725074403955198,8,0.0463646495003665,0.048885933820820966
momentum_12_1_equal,WMT,0.09308432776559301,9,0.04024048755538108,0.04242874329362458
momentum_12_1_equal,COST,0.0663638411728356,10,0.028689183119716164,0.030249285230825956
momentum_12_1_equal,PG,0.05750060930132455,11,0.024857595349923718,0.02620933781051256
momentum_12_1_equal,MA,0.05434393320465294,12,0.023492959774487614,0.024770494097701143
momentum_12_1_equal,AMZN,0.04789545337919965,13,0.020705272755672455,0.021831214181137076
momentum_12_1_equal,CVX,0.027644477344776795,14,0.011950746954619939,0.012600622047801956
momentum_12_1_equal,V,0.023579160065239038,15,0.010193304500849723,0.010747610833121408
momentum_12_1_equal,PEP,0.023300535144053017,16,0.010072854550329165,0.010620610880068325
momentum_12_1_equal,KO,0.0046841706077348265,17,0.0020249736295298074,0.002135090589681246
momentum_12_1_equal,UNH,-0.009294736362879008,18,0.0,-0.004236631370595566
momentum_12_1_equal,ABBV,-0.04069298250188254,19,0.0,-0.018548257798801236
momentum_12_1_equal,HD,-0.06931524696275075,20,0.0,-0.03159456473835992
momentum_max_sharpe,TSLA,0.775248198451325,1,0.2859156501304027,0.3159783151212342
momentum_max_sharpe,NVDA,0.6325415861847511,2,0.23328469412739228,0.25781346547601125
momentum_max_sharpe,GOOGL,0.32092007915412635,3,0.1183570284388263,0.13080170466988933
momentum_max_sharpe,META,0.21209981794285498,4,0.07822353855296184,0.08644837001231898
momentum_max_sharpe,WMT,0.17331091629449194,5,0.06391798575736603,0.07063865666795116
momentum_max_sharpe,COST,0.156880631822115,6,0.05785840964208911,0.06394194506653723
momentum_max_sharpe,JPM,0.13769111971073206,7,0.050781215729260205,0.056120618016611806
momentum_max_sharpe,XOM,0.10417046433945183,8,0.038418620121269884,0.04245815452796986
momentum_max_sharpe,PG,0.06501545408911677,9,0.023978044530187065,0.02649922138607965
momentum_max_sharpe,MA,0.049783138391938375,10,0.018360285657286257,0.020290781999823725
momentum_max_sharpe,MSFT,0.045304406859816765,11,0.016708505697882087,0.018465325267093265
momentum_max_sharpe,AAPL,0.03208567356862502,12,0.011833366703168532,0.013077588692236868
momentum_max_sharpe,KO,0.004656291013488955,13,0.0017172648385091786,0.0018978270340975975
momentum_max_sharpe,PEP,0.0017499479006219607,14,0.0006453900733986364,0.0007132497570365983
momentum_max_sharpe,V,-0.012630994544507206,15,0.0,-0.00514818400410572
momentum_max_sharpe,AMZN,-0.014514148024834682,16,0.0,-0.005915726147405423
momentum_max_sharpe,CVX,-0.021077784174087698,17,0.0,-0.008590955442556131
momentum_max_sharpe,ABBV,-0.036295710619766296,18,0.0,-0.014793530008417963
momentum_max_sharpe,HD,-0.07112143432069727,19,0.0,-0.02898791771532305
momentum_max_sharpe,UNH,-0.10233220471726145,20,0.0,-0.04170891037708315
momentum_min_vol,COST,0.2821533136345162,1,0.16648706381713205,0.18591488319701396
momentum_min_vol,AMZN,0.24661977215459555,2,0.14552018268498518,0.1625013208017377
momentum_min_vol,GOOGL,0.23507175846925332,3,0.13870617484425823,0.1548921682179444
momentum_min_vol,JPM,0.20057198000084234,4,0.11834927474069476,0.13215976716386424
momentum_min_vol,XOM,0.13698646770344206,5,0.0808300795650713,0.09026235706608211
momentum_min_vol,MSFT,0.1297835041379264,6,0.07657990706361396,0.08551622060323047
momentum_min_vol,WMT,0.12822422778198067,7,0.07565984222780932,0.08448879094857463
momentum_min_vol,META,0.1185330009787734,8,0.06994144794610384,0.07810310199123026
momentum_min_vol,PG,0.06968052688622717,9,0.041115612562132725,0.04591350301822064
momentum_min_vol,AAPL,0.05496518841913836,10,0.032432696657645504,0.03621735450565301
momentum_min_vol,KO,0.02041211383414909,11,0.012044348708059328,0.01344983587254863
momentum_min_vol,NVDA,0.019221021142110935,12,0.01134153390685397,0.012665007738281414
momentum_min_vol,TSLA,0.018205691245896563,13,0.01074242950134822,0.011995992242310152
momentum_min_vol,PEP,0.015825672810476414,14,0.009338078526200671,0.010427763807463417
momentum_min_vol,V,0.014330600403303678,15,0.008455897799496098,0.009442639059608621
momentum_min_vol,ABBV,0.004161329651880707,16,0.0024554294485947697,0.002741960057842221
momentum_min_vol,HD,-0.021026355333664967,17,0.0,-0.013854568445653113
momentum_min_vol,MA,-0.026189577934268203,18,0.0,-0.017256690201184765
momentum_min_vol,CVX,-0.035355297287868424,19,0.0,-0.023296114729257144
momentum_min_vol,UNH,-0.09452713782029341,20,0.0,-0.06228529291551103
ml,TSLA,0.7027554126065689,1,0.31046887109831034,0.3144896563068798
ml,NVDA,0.34738870000210953,2,0.1534721406441095,0.15545971031847444
ml,MA,0.15010320891268247,3,0.06631378852921659,0.06717259765587472
ml,ABBV,0.12824114054645577,4,0.056655390224803384,0.057389116456988146
ml,WMT,0.12455217823460739,5,0.05502565113786309,0.055738271129053656
ml,COST,0.12393129894757605,6,0.054751354152204924,0.05546042180895762
ml,META,0.1198278081829706,7,0.05293848139107738,0.05362407109992125
ml,XOM,0.09151670010078458,8,0.04043097506933044,0.04095458397721134
ml,V,0.07359390439242082,9,0.0325128999457788,0.03293396434018081
ml,PG,0.07349387918405632,10,0.03246871001431016,0.03288920211873609
ml,MSFT,0.058876248031250536,11,0.026010816754818696,0.026347674704218296
ml,GOOGL,0.054871805770332,12,0.02424170242880529,0.02455564913209787
ml,JPM,0.054354654887568125,13,0.024013231401931703,0.024324219248440377
ml,AMZN,0.04338800775863299,14,0.019168298879497805,0.019416541520814713
ml,HD,0.04300339159556386,15,0.018998380094366957,0.019244422170662658
ml,CVX,0.029553910837366137,16,0.013056561599695626,0.013225653043772186
ml,UNH,0.02540643795094997,17,0.01122425806726113,0.011369619921589256
ml,PEP,0.01605083454780571,18,0.007091065245246062,0.007182899412549934
ml,AAPL,0.0026198616978695645,19,0.0011574233213720298,0.0011724127486668274
ml,KO,-0.028939474747693587,20,0.0,-0.012950687115090192
