subperiod,requested_start,requested_end,strategy,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha
period_1,2018-09-28,2019-12-31,momentum_3m_equal,2018-09-28,2019-12-31,16,0.10468312698774351,0.21204619889238863,0.573532126975423,0.8194283751941076,-0.2056512969213642,0.5090321751181159,0.027817906340235295,0.13355445470389332,0.2082888691501232,1.0014788089654896,0.027679197902508265
period_1,2018-09-28,2019-12-31,momentum_12_1_equal,2018-09-28,2019-12-31,16,0.09129650737839046,0.19217270236706238,0.5503656443879785,0.7317239969896989,-0.19295816279847255,0.4731414626586254,0.011967852044457597,0.0938609574384981,0.1275061790446733,1.0198482642073903,0.010106136444911012
period_1,2018-09-28,2019-12-31,momentum_max_sharpe,2018-09-28,2019-12-31,16,0.04144626812242613,0.18091872502328388,0.31242226766055076,0.4138095797239693,-0.24032197900887364,0.1724614131980653,-0.0372743627935399,0.1293122399727139,-0.2882508477264421,0.7959671255154787,-0.01813660942230415
period_1,2018-09-28,2019-12-31,momentum_min_vol,2018-09-28,2019-12-31,16,0.13763234948317526,0.1466728518171334,0.9535664009569607,1.453700729515606,-0.14442532198399916,0.9529655021189671,0.0460649022977876,0.08699066732366856,0.5295384403293821,0.7578040138963674,0.06878225635783741
period_1,2018-09-28,2019-12-31,ml,2018-09-28,2019-12-31,16,0.09444717645778478,0.198145371678104,0.5514412926281955,0.8254053356920191,-0.1813774683122762,0.5207216603948611,0.015468138758898041,0.08734861969093359,0.17708509663494507,1.08476053173848,0.007517821163637681
period_1,2018-09-28,2019-12-31,benchmark,2018-09-28,2019-12-31,16,0.08395527631718092,0.16445912556324196,0.570338683282738,0.8096706279397314,-0.1397160878047652,0.6008991350695229,,,,,
period_2,2020-01-01,2021-12-31,momentum_3m_equal,2020-01-31,2021-12-31,24,0.9745400958286379,0.3227910526264761,2.3109610378109853,7.750116461517592,-0.12700038200309205,7.673520980471626,0.5316038906251873,0.21366515954181944,2.4880232779417626,1.2685569975942717,0.47403771652141147
period_2,2020-01-01,2021-12-31,momentum_12_1_equal,2020-01-31,2021-12-31,24,0.74937815720555,0.32067863623006576,1.928312676767397,5.845288887156538,-0.1341952402711447,5.584237978123616,0.40401502406232237,0.2090605730524957,1.9325261485860032,1.2762660497110478,0.34479638645804267
period_2,2020-01-01,2021-12-31,momentum_max_sharpe,2020-01-31,2021-12-31,24,0.8410835825901091,0.41843553468446604,1.673872586765046,5.762620454205772,-0.15529003507472317,5.416210912602297,0.48605411548810795,0.30088530101977684,1.615413294836095,1.6100949532206787,0.3552780321555258
period_2,2020-01-01,2021-12-31,momentum_min_vol,2020-01-31,2021-12-31,24,0.4564801599011923,0.24041453590719183,1.6996056824937003,4.235927176902338,-0.11014951891966718,4.144186596349154,0.1942562560333546,0.1457161203940015,1.3331143836941686,0.9800549884668402,0.1985315421614573
period_2,2020-01-01,2021-12-31,ml,2020-01-31,2021-12-31,24,0.7365759640553249,0.2855101147135253,2.10402993559851,7.020935036837648,-0.1138102583253412,6.47196460928617,0.3863681729248274,0.17241350321600796,2.2409391707606954,1.179918139467501,0.3478020620664504
period_2,2020-01-01,2021-12-31,benchmark,2020-01-31,2021-12-31,24,0.21459512350248588,0.19515424679775603,1.0983806853597977,1.8282604468172883,-0.20001050382463903,1.0729192687331763,,,,,
period_3,2022-01-01,2022-12-31,momentum_3m_equal,2022-01-31,2022-12-30,12,-0.0699277784930128,0.16995858289442248,-0.3458235095667587,-0.44048581762785,-0.1219401315920895,-0.5734599231607616,0.13129480445903022,0.1365388171807342,0.9615932463018001,0.5970627924579223,0.05470833678666849
