strategy,cost_bps,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha,average_turnover,total_transaction_cost,benchmark_sharpe
momentum_3m_equal,0,2018-09-28,2025-12-31,88,0.3468564868654336,0.24215539108229137,1.3589951630151458,2.9406539243135272,-0.20346437456941824,1.7047529209940024,0.1972095314625952,0.17322650764312297,1.138448925316219,0.999681283986119,0.1972515632440548,0.40586107072582217,0.0,0.7791320078308716
momentum_3m_equal,5,2018-09-28,2025-12-31,88,0.34363369212453176,0.24222855961432335,1.3485314831356678,2.9098751618665424,-0.20455839691064326,1.6798806468679965,0.19477436503824028,0.17328507426159004,1.1240112044745996,0.9999456402239686,0.1947815339225349,0.40586107072582217,0.017857887111936175,0.7791320078308716
momentum_3m_equal,10,2018-09-28,2025-12-31,88,0.34041779836627173,0.24230221801863244,1.3380714175106458,2.879265660895491,-0.2056512969213642,1.6553155922787046,0.19233919861388532,0.173344336725384,1.1095787854817165,1.0002099964618183,0.19231150460101493,0.40586107072582217,0.03571577422387235,0.7791320078308716
momentum_3m_equal,25,2018-09-28,2025-12-31,88,0.3308113919742377,0.2425261279869577,1.3067135309814653,2.788445383516996,-0.20892327061574412,1.583410938375901,0.18503369934082053,0.17352629201754718,1.0663150649361521,1.0010030651753674,0.18490141663645515,0.40586107072582217,0.08928943555968087,0.7791320078308716
momentum_3m_equal,50,2018-09-28,2025-12-31,88,0.31493751479154075,0.24290906655607197,1.25452847543252,2.6403907435251974,-0.21435418481294266,1.4692389377253012,0.17285786721904586,0.17384339971696505,0.9943309179438291,1.0023248463646153,0.17255127002885548,0.40586107072582217,0.17857887111936174,0.7791320078308716
momentum_3m_equal,100,2018-09-28,2025-12-31,88,0.2836969362811903,0.24371131678840066,1.150478690881707,2.3561435722089326,-0.22556101010448693,1.2577392526739128,0.14850620297549652,0.17452920222914353,0.8508960167050967,1.0049684087431123,0.14785097681365622,0.40586107072582217,0.3571577422387235,0.7791320078308716
momentum_12_1_equal,0,2018-09-28,2025-12-31,88,0.30711761785374403,0.24476551336119598,1.2222632247363265,2.6200102726644308,-0.20529485901976108,1.4959829940221825,0.1672894119488181,0.1522871659339258,1.0985128715403467,1.140814696730984,0.14871898466711508,0.25457005411889305,0.0,0.7791320078308716
momentum_12_1_equal,5,2018-09-28,2025-12-31,88,0.3051488257757142,0.24481581860401455,1.2157730126982231,2.6016001139749725,-0.2064650112974742,1.4779687069401637,0.16576199162410474,0.15237341124551865,1.087866907153592,1.1407859526745974,0.14719535506468645,0.25457005411889305,0.011201082381231294,0.7791320078308716
momentum_12_1_equal,10,2018-09-28,2025-12-31,88,0.30318265765590335,0.24486642223332244,1.2092839937585151,2.58325514594528,-0.20763364403817963,1.4601807865017973,0.1642345712993914,0.15246010360686138,1.0772298287484574,1.1407572086182105,0.14567172546225776,0.25457005411889305,0.02240216476246259,0.7791320078308716
momentum_12_1_equal,25,2018-09-28,2025-12-31,88,0.2972998664603994,0.2450200215859717,1.1898243341687071,2.52860917619799,-0.21113044217641608,1.4081335850752494,0.1596523103252513,0.15272285535679356,1.045372743668713,1.1406709764490495,0.14110083665497192,0.25457005411889305,0.056005411906156474,0.7791320078308716
momentum_12_1_equal,50,2018-09-28,2025-12-31,88,0.2875474086299401,0.24528197079129466,1.1574176508045244,2.4388157078349333,-0.21692820804241408,1.3255418058573483,0.15201520870168453,0.1531696443774953,0.9924630256830418,1.1405272561671151,0.13348268864282872,0.25457005411889305,0.11201082381231295,0.7791320078308716
momentum_12_1_equal,100,2018-09-28,2025-12-31,88,0.26823685474418046,0.24582809632049443,1.0927126849675568,2.2639404251951554,-0.22841113926159318,1.1743597777732546,0.13674100545455095,0.1540961326259513,0.8873746740060785,1.140239815603246,0.11824639261854233,0.25457005411889305,0.2240216476246259,0.7791320078308716
momentum_max_sharpe,0,2018-09-28,2025-12-31,88,0.34115968645838457,0.28773860075826474,1.1627435344204489,2.887833129458803,-0.2381859349258747,1.4323250722783278,0.20268772391857953,0.21740978730130803,0.932284265738574,1.1200069160183566,0.18686139499868087,0.5000505960812706,0.0,0.7791320078308716
momentum_max_sharpe,5,2018-09-28,2025-12-31,88,0.3372111948670302,0.28779670856356476,1.1520836903009255,2.8513973591000616,-0.2392545047847986,1.409424642475762,0.19968742034209191,0.21746048608934682,0.9182699070213953,1.1202057933109317,0.1838348637883917,0.5000505960812706,0.022002226227575906,0.7791320078308716
momentum_max_sharpe,10,2018-09-28,2025-12-31,88,0.33327312802143183,0.28785542471137454,1.1414257376296748,2.8152007349221932,-0.24032197900887364,1.386777561486068,0.1966871167656043,0.21751199366489432,0.9042587190324158,1.1204046706035067,0.1808083325781024,0.5000505960812706,0.04400445245515181,0.7791320078308716
momentum_max_sharpe,25,2018-09-28,2025-12-31,88,0.32152123171917935,0.2880352194702607,1.109463906324191,2.70803325675299,-0.243517835171566,1.320319029169496,0.18768620603614142,0.21767136333001022,0.8622457413086143,1.1210013024812315,0.17172873894723467,0.5000505960812706,0.11001113113787953,0.7791320078308716
momentum_max_sharpe,50,2018-09-28,2025-12-31,88,0.30214096075510843,0.2883470088199532,1.0562383258851675,2.5340851385760206,-0.24882241750599732,1.2142835190797308,0.1726846881537033,0.21795309991983694,0.7923020513001036,1.1219956889441065,0.1565960828957885,0.5000505960812706,0.22002226227575905,0.7791320078308716
momentum_max_sharpe,100,2018-09-28,2025-12-31,88,0.26414292684114193,0.2890159006511711,0.949982770797404,2.2030772829925622,-0.2593499926171018,1.0184805643357635,0.14268165238882702,0.21857673737073707,0.6527760186429113,1.1239844618698565,0.12633077079289606,0.5000505960812706,0.4400445245515181,0.7791320078308716
